image_name,y_true,y_pred,prob
Colpo_01.jpg,0,0,0.48269236
Colpo_010.jpg,0,0,0.48265457
Colpo_0100.jpg,0,0,0.4826729
Colpo_0101.jpg,0,0,0.48255885
Colpo_0102.jpg,0,0,0.4827603
Colpo_0103.jpg,0,0,0.48266685
Colpo_0104.jpg,0,0,0.48261026
Colpo_0105.jpg,0,0,0.48262677
Colpo_0106.jpg,0,0,0.48260137
Colpo_0107.jpg,1,0,0.48269656
Colpo_0108.jpg,1,0,0.48269933
Colpo_0109.jpg,0,0,0.48270568
Colpo_011.jpg,0,0,0.48262903
Colpo_0110.jpg,1,0,0.48270774
Colpo_0111.jpg,0,0,0.48263836
Colpo_0112.jpg,1,0,0.48261786
Colpo_0113.jpg,1,0,0.48268825
Colpo_0114.jpg,1,0,0.48263615
Colpo_012.jpg,0,0,0.48261416
Colpo_013.jpg,0,0,0.48259836
Colpo_014.jpg,0,0,0.48265824
Colpo_018.jpg,1,0,0.48268646
Colpo_019.jpg,1,0,0.4826112
Colpo_02.jpg,1,0,0.48267025
Colpo_020.jpg,1,0,0.48263058
Colpo_021.jpg,0,0,0.4826567
Colpo_022.jpg,0,0,0.48269567
Colpo_023.jpg,1,0,0.48268512
Colpo_024.jpg,0,0,0.48256806
Colpo_025.jpg,1,0,0.48259872
Colpo_026.jpg,0,0,0.48265323
Colpo_027.jpg,0,0,0.48269403
Colpo_028.jpg,1,0,0.48266536
Colpo_03.jpg,1,0,0.48266158
Colpo_030.jpg,1,0,0.48274508
Colpo_031.jpg,1,0,0.4827298
Colpo_032.jpg,0,0,0.48258528
Colpo_033.jpg,0,0,0.4826808
Colpo_034.jpg,1,0,0.4826608
Colpo_035.jpg,1,0,0.4827683
Colpo_036.jpg,0,0,0.48264548
Colpo_037.jpg,0,0,0.4826453
Colpo_038.jpg,0,0,0.4826608
Colpo_039.jpg,1,0,0.48267668
Colpo_04.jpg,0,0,0.48269314
Colpo_040.jpg,1,0,0.48268324
Colpo_041.jpg,0,0,0.48274317
Colpo_042.jpg,0,0,0.4827199
Colpo_043.jpg,1,0,0.4826399
Colpo_044.jpg,0,0,0.48274064
Colpo_045.jpg,0,0,0.48268446
Colpo_046.jpg,0,0,0.48266014
Colpo_047.jpg,0,0,0.4826528
