epoch,loss,accuracy,val_loss,val_accuracy
0,1.174454927444458,0.5747126340866089,0.731337308883667,0.5862069129943848
1,0.9915133714675903,0.5316091775894165,0.6609610319137573,0.6206896305084229
2,0.893394410610199,0.48275861144065857,0.683844804763794,0.5632184147834778
3,0.8532307147979736,0.49425286054611206,0.7016991376876831,0.5632184147834778
4,0.8104101419448853,0.5488505959510803,0.6692762970924377,0.5747126340866089
5,0.7963730096817017,0.5373563170433044,0.6405109763145447,0.6436781883239746
6,0.7714093327522278,0.5287356376647949,0.6235209703445435,0.6551724076271057
7,0.7092471122741699,0.6178160905838013,0.614711344242096,0.6781609058380127
8,0.804363489151001,0.5862069129943848,0.6096275448799133,0.6781609058380127
9,0.7348975539207458,0.5747126340866089,0.6074575781822205,0.6896551847457886
10,0.7296255826950073,0.6034482717514038,0.6118543148040771,0.7126436829566956
11,0.6743096709251404,0.6522988677024841,0.6123941540718079,0.6896551847457886
12,0.7208788990974426,0.6350574493408203,0.6112098097801208,0.6781609058380127
13,0.6709574460983276,0.6206896305084229,0.6063035130500793,0.7471264600753784
14,0.6733178496360779,0.6206896305084229,0.6030474305152893,0.7586206793785095
